year,city,precipitation
1966,Portland,33.86
1967,Portland,29.24
1968,Portland,50.89
1969,Portland,37.11
1970,Portland,41.35
1971,Portland,41.72
1972,Portland,38.82
1973,Portland,41.67
1974,Portland,40.28
1975,Portland,39.06
1976,Portland,26.71
1977,Portland,37.03
1978,Portland,30.62
1979,Portland,35.75
1980,Portland,42.41
1981,Portland,34.29
1982,Portland,43.04
1983,Portland,47.19
1984,Portland,37.5
1985,Portland,22.48
1986,Portland,35.04
1987,Portland,29.91
1988,Portland,31.72
1989,Portland,30.05
1990,Portland,32.86
1991,Portland,33.55
1992,Portland,29.5
1993,Portland,30.36
1994,Portland,34.96
1995,Portland,43.48
1996,Portland,63.2
1997,Portland,43.81
1998,Portland,46.02
1999,Portland,38.88
2000,Portland,30.2
2001,Portland,30.44
2002,Portland,31.25
2003,Portland,37.51
2004,Portland,27.65
2005,Portland,36.1
2006,Portland,43
1966,Seattle,38.23
1967,Seattle,35.58
1968,Seattle,50.15
1969,Seattle,33.73
1970,Seattle,37.41
1971,Seattle,43.21
1972,Seattle,48.36
1973,Seattle,35.04
1974,Seattle,37.87
1975,Seattle,44.48
1976,Seattle,26.7
1977,Seattle,32.84
1978,Seattle,33.99
1979,Seattle,32.26
1980,Seattle,35.6
1981,Seattle,35.4
1982,Seattle,39.32
1983,Seattle,40.93
1984,Seattle,36.99
1985,Seattle,25.13
1986,Seattle,38.34
1987,Seattle,29.93
1988,Seattle,32.98
1989,Seattle,34.69
1990,Seattle,44.75
1991,Seattle,35.42
1992,Seattle,32.78
1993,Seattle,28.8
1994,Seattle,34.82
1995,Seattle,42.6
1996,Seattle,50.67
1997,Seattle,43.26
1998,Seattle,44.06
1999,Seattle,42.11
2000,Seattle,28.66
2001,Seattle,37.56
2002,Seattle,31.36
2003,Seattle,41.78
2004,Seattle,31.1
2005,Seattle,35.44
2006,Seattle,48.42
1966,Tacoma,34.95
1967,Tacoma,33.65
1968,Tacoma,44.97
1969,Tacoma,32.07
1970,Tacoma,36.81
1971,Tacoma,38.78
1972,Tacoma,46.08
1973,Tacoma,35.24
1974,Tacoma,38.46
1975,Tacoma,42.96
1976,Tacoma,27.7
1977,Tacoma,32.53
1978,Tacoma,35.94
1979,Tacoma,36.56
1980,Tacoma,40.8
1981,Tacoma,40.31
1982,Tacoma,27.79
1983,Tacoma,42.86
1984,Tacoma,41.87
1985,Tacoma,24.94
1986,Tacoma,43.35
1987,Tacoma,33.94
1988,Tacoma,38.93
1989,Tacoma,35.16
1990,Tacoma,46.87
1991,Tacoma,34.71
1992,Tacoma,31.88
1993,Tacoma,29.29
1994,Tacoma,38.12
1995,Tacoma,43.86
1996,Tacoma,53.27
1997,Tacoma,39.59
1998,Tacoma,40.01
1999,Tacoma,47.46
2000,Tacoma,20.66
2001,Tacoma,40.71
2002,Tacoma,24.65
2003,Tacoma,40.29
2004,Tacoma,32.04
2005,Tacoma,34.91
2006,Tacoma,48.07
