year,population
1968,153100
1969,153800
1970,154407
1971,155000
1972,155500
1973,155500
1974,156500
1975,156500
1976,156500
1977,156000
1978,156500
1979,157800
1980,158501
1981,161412
1982,161657
1983,163030
1984,163870
1985,164956
1986,166891
1987,169880
1988,172742
1989,174541
1990,176664
1991,177755
1992,179647
1993,182043
1994,184119
1995,185896
1996,187573
1997,189083
1998,190544
1999,191963
2000,193556
2001,194500
2002,194900
2003,196300
2004,196800
2005,198100
2006,199600
2007,201700
2008,202700
2009,203400
